BARCODE,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,DOSE_LEVEL,SACRIFICE_PERIOD,ORGAN,FINDING_TYPE,TOPOGRAPHY_TYPE,GRADE_TYPE,SP_FLG
003017220021,447,16,5,galactosamine,High,24 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
No ChipData,745,8,1,gefitinib,Low,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
No ChipData,745,8,2,gefitinib,Low,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017959023,745,8,3,gefitinib,Low,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017959024,745,8,4,gefitinib,Low,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
No ChipData,745,11,1,gefitinib,Middle,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,745,11,5,gefitinib,Middle,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017959026,745,12,1,gefitinib,Middle,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
No ChipData,745,12,2,gefitinib,Middle,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
No ChipData,745,12,3,gefitinib,Middle,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017959027,745,12,4,gefitinib,Middle,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017959028,745,12,5,gefitinib,Middle,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017959026,745,12,1,gefitinib,Middle,24 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,745,12,3,gefitinib,Middle,24 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017958023,745,13,1,gefitinib,High,3 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017958025,745,13,5,gefitinib,High,3 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,745,14,1,gefitinib,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,745,14,2,gefitinib,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017959005,745,14,3,gefitinib,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017959006,745,14,4,gefitinib,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,745,15,1,gefitinib,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017959017,745,15,2,gefitinib,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017959018,745,15,3,gefitinib,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,745,15,4,gefitinib,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017959019,745,15,5,gefitinib,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017959029,745,16,1,gefitinib,High,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017959030,745,16,2,gefitinib,High,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017960001,745,16,3,gefitinib,High,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
No ChipData,745,16,4,gefitinib,High,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
No ChipData,745,16,5,gefitinib,High,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017959029,745,16,1,gefitinib,High,24 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
003017959030,745,16,2,gefitinib,High,24 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
003017960001,745,16,3,gefitinib,High,24 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
No ChipData,745,16,4,gefitinib,High,24 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
No ChipData,745,16,5,gefitinib,High,24 hr,Liver,Single cell necrosis,Hepatocyte,moderate,False
No ChipData,183,4,5,gemfibrozil,Control,24 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017696026,183,10,2,gemfibrozil,Middle,6 hr,Liver,Necrosis,Hepatocyte,minimal,True
No ChipData,183,12,5,gemfibrozil,Middle,24 hr,Liver,Necrosis,Hepatocyte,minimal,True
No ChipData,183,16,1,gemfibrozil,High,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,False
003017696005,183,16,2,gemfibrozil,High,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,False
003017696006,183,16,3,gemfibrozil,High,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,False
No ChipData,183,16,5,gemfibrozil,High,24 hr,Liver,Increased mitosis,Hepatocyte,minimal,False
No ChipData,612,13,1,gentamicin,High,3 hr,Liver,DEAD,DEAD,P,False
No ChipData,612,13,4,gentamicin,High,3 hr,Liver,DEAD,DEAD,P,False
003017689019,234,1,3,glibenclamide,Control,3 hr,Liver,Cellular infiltration,Portal,minimal,True
003017689019,234,1,3,glibenclamide,Control,3 hr,Liver,Microgranuloma,,minimal,True
003017689018,234,1,1,glibenclamide,Control,3 hr,Liver,Mineralization,Serosa,minimal,True
No ChipData,234,2,2,glibenclamide,Control,6 hr,Liver,Cellular infiltration,Portal,minimal,True
No ChipData,234,4,3,glibenclamide,Control,24 hr,Liver,Cellular infiltration,Portal,minimal,True
003017693016,234,4,5,glibenclamide,Control,24 hr,Liver,Cellular infiltration,Portal,minimal,True
003017689021,234,5,1,glibenclamide,Low,3 hr,Liver,Cellular infiltration,Portal,minimal,True
003017689023,234,5,3,glibenclamide,Low,3 hr,Liver,Microgranuloma,,minimal,True
003017692001,234,7,3,glibenclamide,Low,9 hr,Liver,Necrosis,Hepatocyte,slight,True
003017693007,234,10,3,glibenclamide,Middle,6 hr,Liver,Microgranuloma,,minimal,True
No ChipData,234,12,5,glibenclamide,Middle,24 hr,Liver,Cellular infiltration,Portal,minimal,True
No ChipData,234,12,5,glibenclamide,Middle,24 hr,Liver,Microgranuloma,,minimal,True
003017689028,234,13,4,glibenclamide,High,3 hr,Liver,Cellular infiltration,Portal,minimal,True
003017689028,234,13,4,glibenclamide,High,3 hr,Liver,Microgranuloma,,minimal,True
003017693010,234,14,2,glibenclamide,High,6 hr,Liver,Cellular infiltration,Portal,minimal,True
No ChipData,289,2,2,griseofulvin,Control,6 hr,Liver,Necrosis,,minimal,True
003017039018,289,4,1,griseofulvin,Control,24 hr,Liver,Cellular infiltration,Portal,minimal,True
003017039020,289,4,5,griseofulvin,Control,24 hr,Liver,Increased mitosis,,minimal,True
003017039022,289,8,3,griseofulvin,Low,24 hr,Liver,Increased mitosis,,minimal,True
No ChipData,289,9,3,griseofulvin,Middle,3 hr,Liver,Increased mitosis,,minimal,True
No ChipData,289,10,3,griseofulvin,Middle,6 hr,Liver,Necrosis,,minimal,True
003017039025,289,12,2,griseofulvin,Middle,24 hr,Liver,Increased mitosis,,minimal,False
003017039026,289,12,3,griseofulvin,Middle,24 hr,Liver,Increased mitosis,,minimal,False
No ChipData,289,12,4,griseofulvin,Middle,24 hr,Liver,Increased mitosis,,minimal,False
No ChipData,289,12,5,griseofulvin,Middle,24 hr,Liver,Increased mitosis,,minimal,False
No ChipData,289,13,2,griseofulvin,High,3 hr,Liver,Increased mitosis,,slight,True
003017037025,289,14,2,griseofulvin,High,6 hr,Liver,Necrosis,,minimal,True
003017039027,289,16,2,griseofulvin,High,24 hr,Liver,Increased mitosis,,minimal,False
003017039028,289,16,3,griseofulvin,High,24 hr,Liver,Increased mitosis,,minimal,False
003017039029,289,16,4,griseofulvin,High,24 hr,Liver,Increased mitosis,,minimal,False
No ChipData,289,16,5,griseofulvin,High,24 hr,Liver,Increased mitosis,,minimal,False
003017637007,633,9,2,hexachlorobenzene,Middle,3 hr,Liver,Necrosis,,minimal,True
No ChipData,633,10,2,hexachlorobenzene,Middle,6 hr,Liver,Cellular infiltration,,minimal,True
003017637023,633,14,4,hexachlorobenzene,High,6 hr,Liver,Cellular infiltration,,minimal,True
003017120018,345,12,2,ibuprofen,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017120019,345,12,4,ibuprofen,Middle,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,345,16,1,ibuprofen,High,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017120022,345,16,4,ibuprofen,High,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,345,16,3,ibuprofen,High,24 hr,Liver,Increased mitosis,Hepatocyte,moderate,False
003017120023,345,16,5,ibuprofen,High,24 hr,Liver,Increased mitosis,Hepatocyte,moderate,False
003017956003,742,4,1,"imatinib, methanesulfonate salt",Control,24 hr,Liver,Necrosis,Hepatocyte,slight,True
No ChipData,742,12,2,"imatinib, methanesulfonate salt",Middle,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017956011,742,12,5,"imatinib, methanesulfonate salt",Middle,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
No ChipData,742,16,1,"imatinib, methanesulfonate salt",High,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017956012,742,16,2,"imatinib, methanesulfonate salt",High,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017956013,742,16,3,"imatinib, methanesulfonate salt",High,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
No ChipData,742,16,4,"imatinib, methanesulfonate salt",High,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
003017956014,742,16,5,"imatinib, methanesulfonate salt",High,24 hr,Liver,"Lesion,NOS",Hepatocyte,slight,False
No ChipData,365,2,5,imipramine,Control,6 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,True
No ChipData,365,2,5,imipramine,Control,6 hr,Liver,"Lesion,NOS",Hepatocyte,minimal,True
No ChipData,365,2,5,imipramine,Control,6 hr,Liver,Microgranuloma,,slight,True
No ChipData,365,2,5,imipramine,Control,6 hr,Liver,"Proliferation, Kupffer cell",Sinusoid,slight,True
No ChipData,365,7,2,imipramine,Low,9 hr,Liver,Thrombus,,slight,True
No ChipData,365,16,2,imipramine,High,24 hr,Liver,Hypertrophy,Hepatocyte,minimal,False
003017153024,365,16,3,imipramine,High,24 hr,Liver,Hypertrophy,Hepatocyte,minimal,False
No ChipData,631,1,4,indomethacin,Control,3 hr,Liver,"Nodule, hepatodiaphragmatic",,minimal,True
No ChipData,631,4,2,indomethacin,Control,24 hr,Liver,Necrosis,,minimal,True
003017638022,631,7,1,indomethacin,Low,9 hr,Liver,Necrosis,,minimal,True
003017638023,631,7,3,indomethacin,Low,9 hr,Liver,Necrosis,,minimal,True
No ChipData,631,7,4,indomethacin,Low,9 hr,Liver,Necrosis,,minimal,True
No ChipData,631,16,3,indomethacin,High,24 hr,Liver,"Nodule, hepatodiaphragmatic",,minimal,True
003017629001,629,1,3,isoniazid,Control,3 hr,Liver,Cellular infiltration,,minimal,True
No ChipData,629,6,5,isoniazid,Low,6 hr,Liver,Cellular infiltration,,minimal,True
003017630023,629,7,4,isoniazid,Low,9 hr,Liver,Cyst,,minimal,True
003017631005,629,8,5,isoniazid,Low,24 hr,Liver,Necrosis,,minimal,True
003017629008,629,9,2,isoniazid,Middle,3 hr,Liver,Cellular infiltration,,minimal,True
No ChipData,629,11,2,isoniazid,Middle,9 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,629,12,1,isoniazid,Middle,24 hr,Liver,Swelling,Centrilobular,moderate,False
003017631008,629,12,5,isoniazid,Middle,24 hr,Liver,Swelling,Centrilobular,moderate,False
003017629023,629,14,3,isoniazid,High,6 hr,Liver,Swelling,Centrilobular,minimal,False
No ChipData,629,14,5,isoniazid,High,6 hr,Liver,Swelling,Centrilobular,minimal,False
003017629021,629,14,1,isoniazid,High,6 hr,Liver,Swelling,Centrilobular,slight,False
003017630027,629,15,2,isoniazid,High,9 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,629,15,3,isoniazid,High,9 hr,Liver,Swelling,Centrilobular,slight,False
003017631010,629,16,3,isoniazid,High,24 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,629,16,5,isoniazid,High,24 hr,Liver,Swelling,Centrilobular,slight,False
No ChipData,629,16,1,isoniazid,High,24 hr,Liver,Swelling,Centrilobular,moderate,False
003017631011,629,16,4,isoniazid,High,24 hr,Liver,Swelling,Centrilobular,moderate,False
003017012029,230,16,2,ketoconazole,High,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017012030,230,16,3,ketoconazole,High,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
003017013002,230,16,5,ketoconazole,High,24 hr,Liver,Increased mitosis,Hepatocyte,slight,False
No ChipData,310,2,3,lomustine,Control,6 hr,Liver,Necrosis,Subserosa,minimal,True
003017095029,310,3,4,lomustine,Control,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,True
003017122010,310,3,5,lomustine,Control,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,True
003017096001,310,7,3,lomustine,Low,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,True
No ChipData,310,7,5,lomustine,Low,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,True
No ChipData,310,9,4,lomustine,Middle,3 hr,Liver,"Proliferation, Kupffer cell",,minimal,True
003017096003,310,11,3,lomustine,Middle,9 hr,Liver,Necrosis,Subserosa,minimal,True
003017096003,310,11,3,lomustine,Middle,9 hr,Liver,"Vacuolization, cytoplasmic",Periportal,minimal,True
003017497026,537,3,2,lornoxicam,Control,9 hr,Liver,Cellular infiltration,,minimal,True
003017498006,537,15,4,lornoxicam,High,9 hr,Liver,Microgranuloma,,minimal,True
003017240002,448,6,1,LPS,Low,6 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017240003,448,6,2,LPS,Low,6 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017240002,448,6,1,LPS,Low,6 hr,Liver,"Change, eosinophilic",Hepatocyte,minimal,False
003017240004,448,6,3,LPS,Low,6 hr,Liver,"Change, eosinophilic",Hepatocyte,minimal,False
003017240002,448,6,1,LPS,Low,6 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017240004,448,6,3,LPS,Low,6 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017240003,448,6,2,LPS,Low,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017240004,448,6,3,LPS,Low,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017221008,448,8,2,LPS,Low,24 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017221008,448,8,2,LPS,Low,24 hr,Liver,Edema,Glisson's sheath,minimal,False
003017221008,448,8,2,LPS,Low,24 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017221009,448,8,3,LPS,Low,24 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017239023,448,13,1,LPS,Middle,3 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017239024,448,13,2,LPS,Middle,3 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017239023,448,13,1,LPS,Middle,3 hr,Liver,Edema,Glisson's sheath,minimal,False
003017239024,448,13,2,LPS,Middle,3 hr,Liver,Edema,Glisson's sheath,minimal,False
003017239025,448,13,3,LPS,Middle,3 hr,Liver,Edema,Glisson's sheath,minimal,False
003017239025,448,13,3,LPS,Middle,3 hr,Liver,"Hematopoiesis, extramedullary",,minimal,True
003017239023,448,13,1,LPS,Middle,3 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017239024,448,13,2,LPS,Middle,3 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017239025,448,13,3,LPS,Middle,3 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017239023,448,13,1,LPS,Middle,3 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017239024,448,13,2,LPS,Middle,3 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017240005,448,14,1,LPS,Middle,6 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017240006,448,14,2,LPS,Middle,6 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017240007,448,14,3,LPS,Middle,6 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017240005,448,14,1,LPS,Middle,6 hr,Liver,"Change, eosinophilic",Hepatocyte,minimal,False
003017240007,448,14,3,LPS,Middle,6 hr,Liver,"Change, eosinophilic",Hepatocyte,minimal,False
003017240005,448,14,1,LPS,Middle,6 hr,Liver,Edema,Glisson's sheath,minimal,False
003017240006,448,14,2,LPS,Middle,6 hr,Liver,Edema,Glisson's sheath,minimal,False
003017240007,448,14,3,LPS,Middle,6 hr,Liver,Edema,Glisson's sheath,minimal,False
003017240007,448,14,3,LPS,Middle,6 hr,Liver,Hypertrophy,Bile duct,minimal,False
003017240007,448,14,3,LPS,Middle,6 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017240005,448,14,1,LPS,Middle,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017240006,448,14,2,LPS,Middle,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017240007,448,14,3,LPS,Middle,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017240006,448,14,2,LPS,Middle,6 hr,Liver,Swelling,Centrilobular,minimal,False
003017240007,448,14,3,LPS,Middle,6 hr,Liver,Swelling,Centrilobular,minimal,False
003017240005,448,14,1,LPS,Middle,6 hr,Liver,Swelling,Centrilobular,slight,False
003017220029,448,15,2,LPS,Middle,9 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017220030,448,15,3,LPS,Middle,9 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017220030,448,15,3,LPS,Middle,9 hr,Liver,"Change, eosinophilic",Hepatocyte,minimal,False
003017220029,448,15,2,LPS,Middle,9 hr,Liver,"Change, eosinophilic",Hepatocyte,slight,False
003017220029,448,15,2,LPS,Middle,9 hr,Liver,Edema,Glisson's sheath,minimal,False
003017220030,448,15,3,LPS,Middle,9 hr,Liver,Edema,Glisson's sheath,minimal,False
003017220029,448,15,2,LPS,Middle,9 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017220030,448,15,3,LPS,Middle,9 hr,Liver,Necrosis,Hepatocyte,slight,False
003017220029,448,15,2,LPS,Middle,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017220029,448,15,2,LPS,Middle,9 hr,Liver,Swelling,Centrilobular,minimal,False
003017220030,448,15,3,LPS,Middle,9 hr,Liver,Swelling,Centrilobular,minimal,False
003017221011,448,16,2,LPS,Middle,24 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017221012,448,16,3,LPS,Middle,24 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017239027,448,21,2,LPS,High,3 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017239027,448,21,2,LPS,High,3 hr,Liver,Edema,Glisson's sheath,minimal,False
003017239028,448,21,3,LPS,High,3 hr,Liver,Edema,Glisson's sheath,minimal,False
003017239027,448,21,2,LPS,High,3 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017239028,448,21,3,LPS,High,3 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017239027,448,21,2,LPS,High,3 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017239028,448,21,3,LPS,High,3 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017239027,448,21,2,LPS,High,3 hr,Liver,Swelling,Centrilobular,minimal,False
003017240008,448,22,1,LPS,High,6 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017240009,448,22,2,LPS,High,6 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017240010,448,22,3,LPS,High,6 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017240008,448,22,1,LPS,High,6 hr,Liver,"Change, eosinophilic",Hepatocyte,minimal,False
003017240009,448,22,2,LPS,High,6 hr,Liver,"Change, eosinophilic",Hepatocyte,minimal,False
003017240008,448,22,1,LPS,High,6 hr,Liver,Edema,Glisson's sheath,minimal,False
003017240009,448,22,2,LPS,High,6 hr,Liver,Edema,Glisson's sheath,minimal,False
003017240010,448,22,3,LPS,High,6 hr,Liver,Edema,Glisson's sheath,minimal,False
003017240009,448,22,2,LPS,High,6 hr,Liver,Hypertrophy,Bile duct,minimal,False
003017240010,448,22,3,LPS,High,6 hr,Liver,Hypertrophy,Bile duct,minimal,False
003017240009,448,22,2,LPS,High,6 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017240010,448,22,3,LPS,High,6 hr,Liver,Necrosis,Hepatocyte,moderate,False
003017240008,448,22,1,LPS,High,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017240009,448,22,2,LPS,High,6 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017240008,448,22,1,LPS,High,6 hr,Liver,Swelling,Centrilobular,minimal,False
003017240010,448,22,3,LPS,High,6 hr,Liver,Swelling,Centrilobular,slight,False
003017221001,448,23,1,LPS,High,9 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017221002,448,23,2,LPS,High,9 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017221003,448,23,3,LPS,High,9 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017221001,448,23,1,LPS,High,9 hr,Liver,Edema,Glisson's sheath,minimal,False
003017221003,448,23,3,LPS,High,9 hr,Liver,Edema,Glisson's sheath,minimal,False
003017221002,448,23,2,LPS,High,9 hr,Liver,Edema,Glisson's sheath,slight,False
003017221001,448,23,1,LPS,High,9 hr,Liver,Hypertrophy,Bile duct,minimal,False
003017221002,448,23,2,LPS,High,9 hr,Liver,Hypertrophy,Bile duct,minimal,False
003017221003,448,23,3,LPS,High,9 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017221002,448,23,2,LPS,High,9 hr,Liver,Necrosis,Hepatocyte,slight,False
003017221001,448,23,1,LPS,High,9 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017221003,448,23,3,LPS,High,9 hr,Liver,Single cell necrosis,Hepatocyte,minimal,False
003017221003,448,23,3,LPS,High,9 hr,Liver,Swelling,Centrilobular,minimal,False
003017221001,448,23,1,LPS,High,9 hr,Liver,Swelling,Centrilobular,slight,False
003017221002,448,23,2,LPS,High,9 hr,Liver,Swelling,Centrilobular,slight,False
003017221014,448,24,2,LPS,High,24 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017221015,448,24,3,LPS,High,24 hr,Liver,Cellular infiltration,Glisson's sheath,minimal,False
003017221014,448,24,2,LPS,High,24 hr,Liver,Edema,Glisson's sheath,slight,False
003017221015,448,24,3,LPS,High,24 hr,Liver,Edema,Glisson's sheath,slight,False
003017221014,448,24,2,LPS,High,24 hr,Liver,Necrosis,Hepatocyte,minimal,False
003017221014,448,24,2,LPS,High,24 hr,Liver,Necrosis,Hepatocyte,moderate,False
003017221015,448,24,3,LPS,High,24 hr,Liver,Necrosis,Hepatocyte,moderate,False
003017221015,448,24,3,LPS,High,24 hr,Liver,Swelling,Centrilobular,minimal,False
003017221014,448,24,2,LPS,High,24 hr,Liver,Swelling,Centrilobular,slight,False
003017046027,265,3,2,metformin,Control,9 hr,Liver,Necrosis,Hepatocyte,minimal,True
No ChipData,265,6,2,metformin,Low,6 hr,Liver,Necrosis,Hepatocyte,minimal,True
003017647020,173,12,5,methapyrilene,Middle,24 hr,Liver,Hypertrophy,Hepatocyte,slight,False
003017646016,173,13,4,methapyrilene,High,3 hr,Liver,Hypertrophy,Hepatocyte,slight,False
003017646016,173,13,4,methapyrilene,High,3 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017646027,173,14,1,methapyrilene,High,6 hr,Liver,Hypertrophy,Hepatocyte,slight,False
003017646029,173,14,4,methapyrilene,High,6 hr,Liver,Hypertrophy,Hepatocyte,slight,False
No ChipData,173,14,5,methapyrilene,High,6 hr,Liver,Hypertrophy,Hepatocyte,slight,False
003017646027,173,14,1,methapyrilene,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017646029,173,14,4,methapyrilene,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,173,14,5,methapyrilene,High,6 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,173,15,1,methapyrilene,High,9 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017647009,173,15,2,methapyrilene,High,9 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017647010,173,15,3,methapyrilene,High,9 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017647011,173,15,4,methapyrilene,High,9 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
No ChipData,173,15,5,methapyrilene,High,9 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
No ChipData,173,15,1,methapyrilene,High,9 hr,Liver,Hypertrophy,Hepatocyte,slight,False
003017647009,173,15,2,methapyrilene,High,9 hr,Liver,Hypertrophy,Hepatocyte,slight,False
003017647010,173,15,3,methapyrilene,High,9 hr,Liver,Hypertrophy,Hepatocyte,slight,False
003017647011,173,15,4,methapyrilene,High,9 hr,Liver,Hypertrophy,Hepatocyte,slight,False
No ChipData,173,15,1,methapyrilene,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017647009,173,15,2,methapyrilene,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017647010,173,15,3,methapyrilene,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017647011,173,15,4,methapyrilene,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,173,15,5,methapyrilene,High,9 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017647021,173,16,1,methapyrilene,High,24 hr,Liver,Anisonucleosis,Hepatocyte,slight,False
003017647022,173,16,2,methapyrilene,High,24 hr,Liver,Anisonucleosis,Hepatocyte,slight,False
No ChipData,173,16,3,methapyrilene,High,24 hr,Liver,Anisonucleosis,Hepatocyte,slight,False
003017647023,173,16,4,methapyrilene,High,24 hr,Liver,Anisonucleosis,Hepatocyte,slight,False
No ChipData,173,16,5,methapyrilene,High,24 hr,Liver,Anisonucleosis,Hepatocyte,slight,False
003017647021,173,16,1,methapyrilene,High,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017647022,173,16,2,methapyrilene,High,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
No ChipData,173,16,3,methapyrilene,High,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017647023,173,16,4,methapyrilene,High,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
No ChipData,173,16,5,methapyrilene,High,24 hr,Liver,"Cellular infiltration, mononuclear cell",Periportal,slight,False
003017647021,173,16,1,methapyrilene,High,24 hr,Liver,Hypertrophy,Hepatocyte,slight,False
003017647022,173,16,2,methapyrilene,High,24 hr,Liver,Hypertrophy,Hepatocyte,slight,False
No ChipData,173,16,3,methapyrilene,High,24 hr,Liver,Hypertrophy,Hepatocyte,slight,False
003017647023,173,16,4,methapyrilene,High,24 hr,Liver,Hypertrophy,Hepatocyte,slight,False
No ChipData,173,16,5,methapyrilene,High,24 hr,Liver,Hypertrophy,Hepatocyte,slight,False
003017647021,173,16,1,methapyrilene,High,24 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017647022,173,16,2,methapyrilene,High,24 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,173,16,3,methapyrilene,High,24 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
003017647023,173,16,4,methapyrilene,High,24 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
No ChipData,173,16,5,methapyrilene,High,24 hr,Liver,Single cell necrosis,Hepatocyte,slight,False
